a,ひとつの 
part,部分 
party,社交的な集まり 
pass,通り過ぎる 
past,過ぎ去った 
pay,金・税金・負債などを支払う 
pen,ペン 
pencil,鉛筆 
people,人々 
percent,パーセント 
perhaps,ことによると 
person,人 
pet,不きげん 
phone,電話 
photograph,写真 
piano,弱音の 
pick,～を選ぶ 
picnic,ピクニック 
picture,絵 
piece,部分 
pig,豚 
pilot,水先案内人舵手 
pink,～を軽く突く 
pipe,管 
place,場所 
plan,計画 
plane,平面 
plant,植物 
play,おもに子供が遊ぶ 
please,人を喜ばせる 
pocket,ポケット 
point,とがった先 
police,警察 
policeman,警官 
pool,水たまり 
poor,貧乏な 
popular,人気がある 
pork,豚肉 
post,部署 
pot,つぼ 
potato,ジャガイモ 
pound,～を強く打つ 
power,能力 
practice,練習 
present,贈り物 
pretty,きれいな 
price,値段 
promise,約束 
proud,得意な 
pull,物を引く 
push,～を押す 
put,～を置く 
quarter,4分の1 
queen,女王 
question,質問 
quick,速い 
quickly,速く 
quiet,静かな 
rabbit,ウサギ 
race,人種 
radio,ラジオ放送 
rain,雨 
rainy,雨の 
reach,場所・目的地に着く 
read,readの過去分詞 
ready,準備ができた 
real,現実の 
really,実際に 
receive,贈与・送付されたものを受け取る 
red,赤 
remember,～を思い出す 
restaurant,レストラン料理店 
return,帰る 
rice,米 
rich,金持ちの 
ride,乗って行く 
right,右の 
ring,鐘・ベルなどが鳴る 
rise,立ち上がる 
river,川 
road,道路 
robot,ロボット 
rock,～を前後にそっと揺り動かす 
rocket,ロケット 
roof,屋根 
room,部屋 
rope,なわ 
rose,riseの過去 
round,～をぐるっと回って 
rule,規則 
run,走る 
sad,悲しい 
safe,安全な 
salad,サラダ 
sale,販売 
salt,塩食塩 
same,同じ 
sand,砂 
sandwich,サンドイッチ 
Saturday,土曜日 
save,を救う 
say,「～」と言う 
scene,現場 
school,群れ 
science,科学 
sea,海 
season,季 
seat,腰掛け 
second,秒 
secret,秘密の 
see,～が見える 
seem,見える 
sell,～を売る 
send,物を送る 
September,9月 
set,～を置く 
seven,7
seventeen,17
seventy,70
several,いくつかの 
shake,～を振る 
shall,～でしょう 
shape,形 
sharp,鋭い 
she,彼女は 
sheep,羊 
shine,光る 
ship,船 
shirt,シャツ 
shoe,靴 
shop,小売店 
shopping,買物・買物の 
short,短い 
should,～するべきである 
shoulder,肩 
show,物・姿・感情などを見せる 
shower,にわか雨 
shut,ドア・窓などを閉める 
sick,病気の 
side,面 
sign,表れ 
silent,音がしない 
silver,銀 
simple,簡単な容易な 
since,～以後ずっと 
sing,歌う 
singer,歌う人 
sister,妹 
sit,座る 
six,6
sixteen,16
sixty,60
size,大きさ 
ski,スキー 
skiing,スキー 
skin,皮膚 
sky,空 
sleep,眠り 
sleepy,眠い 
slow,遅い 
slowly,おそく 
small,小さい 
smell,～をかぐ 
smile,ほほえむ 
smoke,煙 
smoker,喫煙家 
smoking,タバコを吸うこと 
snake,ヘビ 
snow,雪 
so,そういうふうに 
soap,石けん 
soccer,サッカー 
soda,ソーダ 
soft,柔らかい 
some,いくらかの 
somebody,重要人物 
someone,誰か 
something,何か 
sometimes,ときどき 
son,息子・子孫・子 
song,歌 
soon,間もなく 
sorry,悲しいと思う 
sound,傷んでいない 
soup,スープ 
south,南 
space,空間 
speak,話す 
speaker,話す人 
special,特別な 
speed,速いこと 
spend,金を使う 
spoon,スプーン 
sport,スポーツ 
spring,春 
square,正方形 
stamp,地面・床などを踏みつける 
stand,人・動物が立つ 
star,星 
start,出発する 
station,場所 
stay,支柱 
step,一歩 
still,静止した 
stone,石 
stop,動いているものを止める 
store,小売店 
story,話 
straight,まっすぐな 
strange,奇妙な 
street,街路 
strong,力の強い 
student,学生 
study,勉強 
subway,地下鉄 
such,こんな 
suddenly,突然に 
sugar,砂糖 
suit,スーツ 
summer,夏 
sun,太陽 
Sunday,日曜日 
supermarket,スーパーマーケット 
sure,確信して 
surprise,～を驚かす 
sweet,甘い 
swim,泳ぐ 
switch,しなやかな小枝 
table,テーブル 
take,～を手に取る 
talk,話す 
tall,高い 
tape,テープ 
taste,味覚 
taxi,タクシー 
tea,茶 
teach,物事・学科などを教える 
teacher,先生 
team,チーム 
telephone,電話機 
television,テレビ放送 
tell,～を話す 
ten,10
tennis,テニス 
tent,テント 
test,試験 
textbook,教科書 
than,～よりも 
thank,人に感謝する 
that,あれ 
the,その 
their,彼らの 
theirs,彼らのもの 
them,彼らを 
then,その時 
there,そこで 
these,これら 
they,彼らが 
thick,厚い 
thin,まばらになる 
thing,物 
think,～を考える 
third,第3番目の 
thirteen,13
thirty,30
this,これ 
those,それら 
though,～にもかかわらず 
thousand,1000人 
three,3
through,～を貫いて 
throw,～を投げる 
Thursday,木曜日Thu 
ticket,切符 
tie,～を縛る 
tiger,トラ 
till,金銭入れ 
time,時間 
tired,疲れた 
to,～すること 
today,きょうは 
toe,足の指 
together,いっしょに 
toilet,便器 
tomato,女 
tomorrow,明日に 
tongue,舌 
tonight,今晩 
too,～もまた 
tooth,歯 
top,いちばん上の部分 
touch,人が～をさわる 
toward,～のほうへ 
towel,タオル 
tower,塔 
town,町 
toy,おもちゃ 
train,列車 
travel,旅行する 
tree,木 
trip,旅行 
trouble,苦難 
TRUE,真 
try,～に努力する 
Tuesday,火曜日 
tunnel,トンネル 
turn,～を回す 
twelve,12
twenty,20
two,2
type,型 
umbrella,傘 
uncle,おじ 
under,～の下に 
understand,事を理解する 
until,～までずっと 
up,上へ 
upon,onと同じ 
us,我々を 
use,道具などを使う 
useful,有用な 
usual,いつもの 
usually,普通は 
vacation,休暇 
vegetable,野菜 
very,非常に 
video,テレビの映像 
videotape,ビデオテープ 
village,村 
violin,バイオリン 
visit,人を訪問する 
visitor,訪問者 
voice,声 
wait,待つ 
wake,目を覚ます 
walk,歩く 
wall,壁 
want,物事をほしがる 
war,戦争 
warm,暖かい 
was,be動詞の過去形 
wash,～を洗う 
watch,～をじっと見つめる 
water,水 
wave,揺れる 
way,道 
we,私たちは 
weak,弱い 
wear,を身につけている 
Wednesday,水曜日 
week,週 
weekend,週末 
welcome,ようこそ 
well,よく 
were,beの過去形 
west,西 
wet,濡らす 
what,何 
when,いつ 
where,どこに 
which,どちら 
while,時間 
white,白髪の 
who,だれが 
whom,だれを 
whose,だれの 
why,なぜどうして 
wide,暴投球 
wife,妻 
wild,野生の 
will,意志 
wind,風 
window,窓 
wine,ワイン 
winter,冬 
wise,賢い 
with,～と 
without,～なしに 
woman,女 
wonderful,驚くべき 
wood,木質部 
word,語 
work,仕事 
world,世界 
worry,心配する 
worst,～を負かす 
would,～だろう 
write,文字・文章・書物などを書く 
wrong,正しくない 
yard,庭 
year,年 
yellow,黄色の 
yes,はい 
yesterday,きのう 
you,あなたがたは 
young,若い 
your,あなたがたの 
yours,あなたたちのもの 
zoo,動物園
ability,能力 
abroad,海外へ 
absent,欠席した 
accent,アクセント 
accept,物を受け取る 
accident,偶然 
account,計算 
action,行動 
active,活動的な 
activity,活動 
actor,俳優 
actress,女優 
actual,現実の 
actually,実際に 
add,1二つ以上のものを合計する 
address,あて名 
admire,に敬服する 
adult,おとなの 
adventure,冒険 
advice,忠告 
advise,人に事を忠告する 
afterward,あとで 
agency,代理店 
agent,旅行業者 
agree,人が意見が一致する 
ah,ああ 
ahead,前方に 
aim,銃・矢・ミサイルなどのねらいをつける 
airline,航空路 
alive,生きている 
allow,事を許す 
almond,アーモンドの木は食用される 
alphabet,アルファベットギリシャ語のα 
amount,計算・金額が総計なる 
angel,天使 
anger,怒り 
announce,～を発表する 
ant,アリ 
anxious,気になる 
anyway,いかにしても 
anywhere,どこかへ 
apart,離れて 
appear,姿を現す 
appearance,現れること 
apply,～を適用する 
approach,ある時間・場所・状態に近づく 
apron,エプロン 
area,面積 
army,陸軍 
arrange,～を整理する 
arrangement,配置 
arrival,到着 
aside,わきに 
asleep,眠って 
assist,人を手伝う 
attend,～に出席する 
attention,注意 
audience,聴衆 
automobile,自動車 
awake,～の目をさまさせる 
aware,知っている 
awful,恐ろしい 
backward,後方への 
bacon,ベーコン 
badly,悪く 
balance,天びん 
balloon,気球 
band,一隊 
bar,棒 
base,卑しい 
basic,基礎の 
battle,戦闘 
bay,くり毛色 
beach,浜 
bean,豆 
bear,クマ 
beard,あごひげ 
beat,～をたたく 
beautifully,美しく 
beauty,美しさ 
bee,はち 
beer,ビール 
behave,振る舞う 
belong,所有である 
belt,ベルト 
bend,まっすぐな物を曲げる 
beyond,～を越えて 
bill,くちばし 
birth,誕生 
bit,小片 
blame,事を非難する 
blanket,毛布 
blind,目の見えない 
block,かたまり 
blood,血 
board,板 
boil,はれもの 
bone,骨 
bookshop,書店 
bookstore,書 
boring,穴をあけること 
borrow,～を借りる 
boss,ボス 
bottom,底 
bow,身をかがめる 
bowl,木球 
boyfriend,男友だち 
brain,中枢部 
brake,やぶ 
branch,枝 
brave,勇敢な 
breath,息 
breathe,呼吸する 
brick,れんが 
bright,輝いている 
brilliant,光り輝く 
broad,幅の広い 
broadcast,情報・音楽などを放送する 
broken,breakの過去分詞 
brush,しば 
burn,火・家などが燃える 
burst,破裂する 
bush,低木 
businessman,実業家 
butterfly,チョウ 
button,ボタン 
cab,タクシー 
cable,太綱 
cage,鳥かご 
campus,構内 
candle,ろうそく 
capital,主要な 
care,心配 
carefully,慎重に 
carpenter,船大工 
cash,現金 
cast,～を投げる 
castle,城 
cause,原因 
ceiling,天井 
cent,セント 
centimeter,センチメートル 
central,中心の 
century,1世紀 
certainly,確かに 
chain,鎖 
champion,優勝者 
chapter,章 
character,性格 
charge,費用 
check,阻止 
cheek,ほお 
cheer,歓呼 
cherry,サクランボ 
chest,大箱 
choice,選択 
cigar,葉巻たばこ 
cigarette,紙巻きたばこ 
cinema,映画館 
citizen,国民 
claim,人が～を要求する 
cleaning,掃除 
clearly,はっきりと 
clerk,行員 
clinic,臨床講義 
cloth,布 
coal,石炭 
coast,海岸 
cocoa,ココア 
coin,硬貨 
collect,短い祈祷文 
collection,集めること 
colorful,色彩に富んだ 
comfort,～を慰める 
comfortable,快適な 
comic,喜劇の 
common,共通の 
companion,仲間 
compare,二つのものを比較する 
complain,不満をもらす 
complete,全部の 
completely,完全に 
computer,計算機 
concert,演奏会 
condition,状態 
contain,包含する 
content,気楽な 
continue,物事を続ける 
control,統制 
conversation,会話 
cooking,料理 
copy,写す 
corn,たこ 
correct,事実に合った 
cost,品物がある金額がかかる 
cotton,綿 
couple,2個 
courage,勇気 
course,進路 
court,中庭 
cousin,いとこ 
cowboy,カウボーイ 
crash,ガラガラ 
crazy,狂気の 
cream,クリーム 
create,～を創造する 
creation,創造 
crew,乗組員全員 
cross,十字架 
crowd,群衆 
crowded,込み合った 
crown,王冠・王位 
culture,教養 
curtain,カーテン 
curve,曲線 
custom,習慣 
customer,お客 
cycle,周期 
daily,毎日の 
damage,名誉体面 
dancer,踊り子 
dancing,踊ること 
danger,危険 
dare,あえて～る 
deaf,耳が遠い 
deal,～を分配する 
decision,決定 
deeply,深く 
defend,～を守る 
defense,防御 
degree,程度 
deliver,手紙・荷物などを配達する 
demand,人が～を求める 
dentist,歯科医 
deny,～を否定する 
depend,懸案になっている 
depth,深さ 
describe,～を描写する 
desert,人・地位・場所などを見捨てる 
design,略図 
designer,設計者 
destroy,～を破壊する 
detail,細部 
develop,～を生じさせる 
dial,文字盤 
diamond,ダイヤモンド 
difference,違い 
difficulty,難しさ 
dig,地面・穴などを掘る 
direct,まっすぐな 
direction,方向 
directly,まっすぐに 
disappear,見えなくなる 
discount,割引額 
discuss,について議論する 
discussion,議論 
disease,病気 
disk,円盤 
dislike,～を嫌う 
distance,距離 
distant,遠い 
district,地区 
divide,～を分ける 
double,2倍の 
doubt,疑い 
downstairs,階下へ 
downtown,商業地区へ 
dozen,ダース 
drama,戯曲 
drill,小みぞ 
drinking,飲むこと 
drown,～を溺死させる 
drug,麻酔薬を飲ませる 
drunk,drinkの過去分詞 
dust,ちり 
duty,義務 
earn,金などをかせぐ 
earring,イヤリング 
easily,容易に 
edge,縁 
educate,～を教育する 
education,教育 
effect,結果 
effort,努力 
eighteenth,第18の 
eighth,第8の 
eightieth,第80の 
elbow,ひじ 
elder,年上の 
electric,電気の 
electricity,電気 
elevator,エレベーター 
eleventh,第11番目 
empty,からの 
ending,終り 
enemy,敵 
energy,精力 
engine,エンジン 
engineer,技師 
entrance,人をうっとりさせる 
envelope,外被 
equal,等しい 
eraser,消しゴム 
error,誤り 
escape,逃げ出す 
especially,とりわけ 
event,でき事 
everyday,毎日の 
exact,正確な 
exactly,正確に 
examination,審査 
examine,～を調べる 
example,例 
excellent,優秀な 
except,～を除いて 
exciting,興奮させる 
exercise,運動 
exist,存在する 
exit,退場する 
expect,～を予期する 
expensive,費用のかかる 
experience,経験 
explain,～を説明する 
express,思想・感情などを表現する 
fail,失敗する 
fair,品評会 
FALSE,虚偽 
familiar,よく知られている 
fan,うちわ扇 
fare,料金 
fashion,流行 
fault,欠点 
favor,親切な行為 
favorite,気に入りの 
fax,ファックス 
fear,恐れ 
feed,人・動物に食物を与える 
fellow,男 
female,雌の 
fence,囲い 
festival,祭り 
fifteenth,第15の 
fifth,第5の 
fiftieth,第50の 
figure,数字 
fill,容器などをいっぱいにする 
final,最終の 
finally,最後に 
firm,堅い 
fisherman,漁夫 
fishing,魚取り 
fit,発作 
fix,～を固定する 
flag,旗 
flight,逃走 
float,浮く 
flood,洪水 
flow,気体・液体・電気などが流れる 
follow,～の後について行く 
following,次の 
foolish,愚かな 
force,力 
foreign,外国の 
foreigner,外国人 
forever,永久に 
forgive,人・罪などを許す 
form,形 
formal,正式の 
former,元 
fortieth,第40の 
fortunate,幸運な 
forward,前方へ 
fourteenth,第14の 
fourth,第4の 
freedom,自由 
freeze,凍る 
friendship,友情 
fuel,燃料 
furniture,家具・ 家具 
further,もっと遠い 
gain,～を得る 
garage,車庫 
gate,門 
gather,人・物を集める 
general,全部の 
generally,普通は 
gentle,優しい 
ghost,幽霊 
giant,大男 
gift,贈り物 
girlfriend,女友だち 
gorilla,ゴリラ 
grade,学年 
grammar,文法 
grand,壮大な 
granddaughter,孫娘 
grandma,おばあちゃん 
grandpa,小児語おじいちゃん 
grandson,男の孫 
grape,ぶどう 
grapefruit,グレープフルーツ 
grateful,感謝している 
greatly,非常に 
greatness,大きいこと 
greeting,あいさつ 
guard,見張り 
guess,～を推測する 
gym,体操 
habit,習慣 
hairbrush,ヘアブラシ 
haircut,ヘアスタイル 
hall,会館 
ham,ハム 
hamburger,牛のひき肉 
hammer,金づち 
handkerchief,ハンカチ 
handle,取って 
handsome,風采のよい 
hang,～を掛ける 
happily,幸福に 
harbor,港 
hardly,ほとんど～ない 
harm,害 
hate,～を憎む 
headache,頭痛 
health,健康 
heat,熱さ 
heaven,天 
height,高さ 
helicopter,ヘリコプター 
hell,死者の国 
helpful,助けになる 
hero,英雄 
herself,彼女自身 
hey,おや 
hide,皮 
highly,高度に 
hiking,ハイキングする 
himself,彼自身 
hire,人を雇う 
holy,神聖な 
homeroom,ホームルーム 
hook,掛けくぎ 
host,大群 
however,どんなに～でも 
human,人間の 
hunt,野生の鳥・動物を狩る 
illness,病気 
image,像 
imagination,想像 
imagine,～を想像する 
immediate,即座の 
immediately,すぐに 
importance,重要性 
impossible,我慢ならない 
impression,印象 
improve,～をもっとよくする 
inch,インチ 
include,～を含む 
industry,産業 
inform,人に知らせる 
information,情報 
ink,のインク 
insect,昆虫 
instead,その代りとして 
intelligent,理且力のある 
intend,～を意図する 
international,国際 
introduce,人を紹介する 
invitation,招待 
iron,鉄 
itself,それ自身 
jacket,ジャケットカバー 
jazz,ジャズ 
jeans,ジーンズ 
jet,噴出 
journey,旅行 
judge,裁判官 
jungle,密林地帯 
kilo,キログラム 
kilogram,キログラム 
kilometer,キロメートル 
knock,～をたたく 
knowledge,知識 
labor,労働 
lack,～を欠く 
lamp,ランプ 
law,法 
lawyer,弁護士 
lay,俗人の 
lazy,怠惰な 
lead,鉛 
leader,指導者 
least,最も小さい 
leather,なめし皮 
lemon,lemon: 
lend,金・金を貸す 
length,長さ 
less,もっと少ない 
lie,横たわる 
lift,～を持ち上げる 
likely,～しそうな 
limit,限界 
load,荷 
local,一地方の 
lock,錠 
locker,ロッカー 
lonely,ひとりの 
lot,くじ 
loud,大きな声を出す 
lovely,美しい 
luck,運 
mad,気が狂った 
magic,魔法 
main,おもな 
maker,製作者 
male,男性の 
mama,おかあさん 
manage,～を管理する 
manager,支配人 
mankind,人類 
manner,文方法 
march,行進する 
mark,跡 
married,結婚した 
mass,～の固まり 
match,まっち 
mate,片方 
material,材料 
mathematics,数学 
maybe,ことによると 
meaning,目的 
measure,寸法 
medal,メダル 
medical,医学的な 
medicine,薬 
melon,メロン 
melt,溶ける 
mention,～を簡潔に述べる 
menu,メニュー 
merry,陽気な 
message,伝書 
metal,金属 
method,方法 
might,巨大な力 
mild,柔和な 
millimeter,ミリメートル 
million,100万 
mix,複数のものを混ぜ合わせる 
model,模型 
modern,現代の 
moment,瞬間 
monster,怪物 
monthly,月1回の 
mood,気分 
mosquito,カ 
motor,モーター 
movement,運動 
mud,泥 
murder,殺人謀殺 
musical,音楽の 
myself,私自身 
mystery,神秘的な物 
nation,国民 
national,愛国的な 
native,出生地の 
naturally,気どらずに 
nature,自然 
navy,海軍 
nearly,ほとんど 
neat,きちんと整った 
necklace,首飾り 
needle,針 
neither,どちらの～も～ない 
nephew,おい 
nervous,いらいらする 
nest,巣 
net,網 
niece,めい 
nineteenth,第19の 
ninetieth,第90の 
ninth,第9の 
noble,高貴の 
nod,うなずく 
noisy,やかましい 
nor,～も 
normal,正常な 
notice,人目を引くこと 
nowhere,ぞこにも～ない 
nut,木の実 
object,物 
